3PF Shipping Details,,,,,
02/01/2021 - 02/28/2021,,,,,
Order Number,Ship To State,Ship To Zip,Ship To Country,Part Number,Quantity
701977374,IL,60618-6148,United States,WALBASE-3.75,1
701977374,IL,60618-6148,United States,WALBASE-3.50,1
701977371,WI,53944-9514,United States,WALBASE+2.00,1
701977371,WI,53944-9514,United States,WALBASE+3.00,1
701977372,AL,35587-3308,United States,WALBASE+1.25,1
701977372,AL,35587-3308,United States,WALBASE+2.75,1
701977373,LA,70810,United States,WALBASE-5.75,2
701977375,AR,72758,United States,WALBASE-9.00,2
701977369,TX,75189-5040,United States,WALBASE-3.00,2
701977364,TX,78612-3257,United States,WALBASE-4.00,1
701977364,TX,78612-3257,United States,WALBASE-3.75,1
701977367,MN,55066,United States,WALBASE-8.50,1
701977367,MN,55066,United States,WALBASE-9.00,1
701977362,TX,75068,United States,WALBASE-5.25,2
701977345,WI,54703-3573,United States,WALBASE-2.75,1
701977795,ME,04468,United States,3007,1
701977796,OH,44118-4254,United States,WALBASE-6.50,6
701977823,FL,32712-2686,United States,WALBASE-6.50,2
701977345,WI,54703-3573,United States,WALBASE-2.25,1
701977341,TN,37730,United States,WALBASE-1.75,1
701977341,TN,37730,United States,WALBASE-1.50,1
701977346,TX,76262-6674,United States,WALBASE-4.00,1
701977346,TX,76262-6674,United States,WALBASE-3.50,1
701977347,MN,55112-3811,United States,WALBASE-3.75,1
701977347,MN,55112-3811,United States,WALBASE-4.25,1
701977348,AR,72704,United States,WALBASE-2.25,1
701977348,AR,72704,United States,WALBASE-3.25,1
701977349,IL,61071,United States,WALBASE-9.50,1
701977353,WI,53528-9688,United States,WALBASE-1.75,2
701977352,TN,37923,United States,WALBASE-5.50,2
701977339,LA,71104-3718,United States,WALBASE-2.50,2
701977343,TX,75048,United States,WALBASE-9.00,1
701977343,TX,75048,United States,WALBASE-7.50,1
701977344,IA,52002-2247,United States,WALBASE-1.00,2
701977338,AL,36301-8993,United States,WALBASE-3.25,1
701977338,AL,36301-8993,United States,WALBASE-2.50,1
701977331,TX,78758-5607,United States,WALBASE-1.25,3
701977331,TX,78758-5607,United States,WALBASE-1.50,3
701977328,TN,37128-6967,United States,WALBASE-8.00,2
701977337,MN,55369,United States,WALBASE-5.00,2
701977336,AR,71913,United States,WALBASE-2.75,1
701977336,AR,71913,United States,WALBASE-3.50,1
701977330,MO,63116,United States,WALBASE-1.00,1
701977330,MO,63116,United States,WALBASE-1.50,1
701977335,MO,65081-3427,United States,WALBASE-2.25,2
701977327,TN,37323-0681,United States,WALBASE-4.00,1
701977327,TN,37323-0681,United States,WALBASE-3.75,1
701977321,TX,78728,United States,WALBASE-1.75,1
701977321,TX,78728,United States,WALBASE-2.50,1
701977325,OK,74012-8258,United States,WALBASE-5.50,1
701977325,OK,74012-8258,United States,WALBASE-5.25,1
701977320,LA,71203-9386,United States,WALBASE-3.50,2
701977318,OK,73099-3458,United States,WALBASE-1.75,1
701977318,OK,73099-3458,United States,WALBASE-2.50,1
701977317,NE,68144,United States,WALBASE-6.00,1
701977317,NE,68144,United States,WALBASE-5.75,1
701977311,TX,78634-2063,United States,WALBASE-2.75,1
701977311,TX,78634-2063,United States,WALBASE-3.75,1
701977316,KS,67114,United States,WALBASE-4.00,1
701977316,KS,67114,United States,WALBASE-4.25,1
701977308,TN,38135,United States,WALBASE-3.00,2
701977333,AL,35180,United States,WALBASE-5.50,1
701977329,MN,55044-4008,United States,WALBASE-1.50,1
701977329,MN,55044-4008,United States,WALBASE-2.50,1
701977332,TX,75034-3643,United States,WALBASE-1.50,2
701977334,AL,35055-8030,United States,WALBASE-3.75,1
701977334,AL,35055-8030,United States,WALBASE-4.25,1
701977323,MS,39478-9495,United States,WALBASE-6.00,2
701977322,MN,55101-2207,United States,WALBASE-2.25,2
701977319,OK,74129-6132,United States,WALBASE-6.50,2
701977309,TN,38563,United States,WALBASE-3.50,1
701978712,TX,77083-1828,United States,WALFIRST-4.00,1
701978713,TX,76209-4746,United States,WALFIRST-3.25,1
701978713,TX,76209-4746,United States,WALFIRST-3.75,1
701978775,TN,37660-6410,United States,WALFIRST-2.25,1
701978775,TN,37660-6410,United States,WALFIRST-2.00,1
701978778,AL,35585-3724,United States,WALFIRST+2.00,1
701978778,AL,35585-3724,United States,WALFIRST+2.00,1
701978771,TX,75211-5943,United States,WALFIRST-4.00,1
701978771,TX,75211-5943,United States,WALFIRST-4.25,1
701978774,VA,24201-4744,United States,WALFIRST-1.75,1
701978774,VA,24201-4744,United States,WALFIRST-2.00,1
701978772,WI,54220-4916,United States,WALFIRST-2.25,1
701978772,WI,54220-4916,United States,WALFIRST-2.25,1
701978776,TX,76119-7055,United States,WALFIRST-9.50,1
701978776,TX,76119-7055,United States,WALFIRST-8.00,1
701978773,AL,35211,United States,WALFIRST-7.00,1
701978773,AL,35211,United States,WALFIRST-6.00,1
701978779,WI,53216,United States,WALFIRST-8.00,1
701978779,WI,53216,United States,WALFIRST-8.00,1
701977309,TN,38563,United States,WALBASE-3.00,1
701977313,IA,52804-1159,United States,WALBASE-6.00,6
701977404,IL,60641,United States,WALBASE-3.00,1
701977404,IL,60641,United States,WALBASE-2.75,1
701977506,IL,60450,United States,WALBASE-3.75,6
701978864,KY,42071,United States,WALFIRST-3.00,1
701977509,KY,42757,United States,WALFIRST-9.00,2
701977585,PA,17501,United States,WALBASE-5.25,1
701977585,PA,17501,United States,WALBASE-5.00,1
701977705,FL,33837,United States,WALFIRST-1.25,1
701978938,AL,35218-2264,United States,WALFIRST-1.50,1
701978938,AL,35218-2264,United States,WALFIRST-1.50,1
701978941,AL,35661-3026,United States,WALFIRST-2.25,1
701978941,AL,35661-3026,United States,WALFIRST-2.50,1
701978947,MN,55075,United States,WALFIRST-2.75,1
701978947,MN,55075,United States,WALFIRST-3.00,1
701977705,FL,33837,United States,WALFIRST+2.25,1
701976996,NY,10538,United States,WALBASE-8.50,2
701979070,GA,30316,United States,WALFIRST-2.25,1
701977011,NC,28079,United States,WALBASE-2.50,2
701977737,AR,72853-8831,United States,WALBASE-1.50,1
701979116,NV,89703,United States,WALFIRST-5.25,1
701979116,NV,89703,United States,WALFIRST-4.75,1
701979110,MO,63137-3914,United States,WALFIRST-3.75,1
701979110,MO,63137-3914,United States,WALFIRST-3.50,1
701979107,AZ,85083-5860,United States,WALFIRST-5.50,1
701979107,AZ,85083-5860,United States,WALFIRST-5.50,1
701979109,WA,99012,United States,WALFIRST-5.00,1
701979109,WA,99012,United States,WALFIRST-5.50,1
701979112,VA,22172-2302,United States,WALFIRST-4.00,1
701979112,VA,22172-2302,United States,WALFIRST-4.00,1
701979108,CA,90046,United States,WALFIRST-6.50,1
701979108,CA,90046,United States,WALFIRST-7.50,1
701979113,TX,77485-5501,United States,WALFIRST-3.75,1
701979113,TX,77485-5501,United States,WALFIRST-3.00,1
701979111,WA,99337-5708,United States,WALFIRST-2.25,2
701979114,CA,95258,United States,WALFIRST-2.75,1
701979114,CA,95258,United States,WALFIRST-2.50,1
701977737,AR,72853-8831,United States,WALBASE-1.75,1
701977795,ME,04468,United States,WALBASE-1.75,6
701977361,IL,61938-4184,United States,WALBASE-2.50,2
701977365,IL,60804,United States,WALBASE-2.75,1
701977365,IL,60804,United States,WALBASE-2.25,1
701977370,MN,55113-3807,United States,WALBASE-4.75,2
701977368,TN,38401-2094,United States,WALBASE-5.50,2
701977363,WI,54165,United States,WALBASE+1.00,3
701977363,WI,54165,United States,WALBASE+2.50,3
701977350,LA,70346-2225,United States,WALBASE-4.00,1
701977350,LA,70346-2225,United States,WALBASE-2.75,1
701977351,TN,37188,United States,WALBASE-5.00,1
701977351,TN,37188,United States,WALBASE-3.75,1
701977854,PA,19382-6539,United States,WALBASE-5.00,6
701979182,FL,32207,United States,WALFIRST-5.75,1
701979189,MI,48146,United States,WALFIRST-2.50,1
701979189,MI,48146,United States,WALFIRST-2.50,1
701979192,AR,72401-5608,United States,WALFIRST-2.00,1
701979192,AR,72401-5608,United States,WALFIRST-1.25,1
701979184,VA,24450-2979,United States,WALFIRST-4.75,1
701979184,VA,24450-2979,United States,WALFIRST-4.50,1
701977854,PA,19382-6539,United States,WALBASE-6.50,6
701978011,MD,20770-4530,United States,3007,1
701978181,PA,17042-4560,United States,WALBASE-8.50,2
701979255,CA,95065-1608,United States,WALFIRST-3.25,1
701979252,MI,48334,United States,WALFIRST-4.75,1
701979252,MI,48334,United States,WALFIRST-5.00,1
701979253,TX,77494,United States,WALBASE-1.50,2
701978228,VA,22630-3653,United States,WALBASE-3.25,1
701978228,VA,22630-3653,United States,WALBASE-2.75,1
701978254,OH,45405,United States,WALFIRST-2.00,1
701979922,TX,77066,United States,WALBASE-3.75,1
701980072,CA,95659,United States,WALBASE-4.00,3
701980072,CA,95659,United States,WALBASE-3.25,3
701978254,OH,45405,United States,WALFIRST-2.00,1
701978253,MD,21632,United States,WALFIRST-4.75,1
701978253,MD,21632,United States,WALFIRST-4.50,1
701978259,WV,26062,United States,WALFIRST-4.25,1
701978259,WV,26062,United States,WALFIRST-4.25,1
701978260,IN,46235-1120,United States,WALFIRST-9.00,1
701978260,IN,46235-1120,United States,WALFIRST-9.00,1
701978255,FL,33166-5843,United States,WALFIRST-2.50,1
701978255,FL,33166-5843,United States,WALFIRST-2.50,1
701978261,NY,11203,United States,WALFIRST-3.25,1
701978261,NY,11203,United States,WALFIRST-3.25,1
701978256,MA,02120-2162,United States,WALFIRST-2.25,1
701978256,MA,02120-2162,United States,WALFIRST-2.25,1
701978257,FL,32736-9646,United States,WALFIRST-1.00,1
701978257,FL,32736-9646,United States,WALFIRST-1.00,1
701978388,TX,78722,United States,WALBASE-1.50,2
701978389,CT,06335-1804,United States,WALBASE-4.00,2
701978464,GA,30337-2480,United States,WALFIRST-3.75,1
701980922,GA,30120-2019,United States,WALBASE-1.50,1
701980922,GA,30120-2019,United States,WALBASE-1.75,1
701980916,NY,11364-2039,United States,WALBASE-2.50,2
701980915,NC,28269,United States,WALBASE-4.00,6
701980917,KY,40422-1434,United States,WALBASE-3.00,1
701980917,KY,40422-1434,United States,WALBASE-3.25,1
701980919,OH,43125,United States,WALBASE-3.50,1
701980919,OH,43125,United States,WALBASE-4.25,1
701980918,NJ,08050,United States,WALBASE-1.00,1
701980918,NJ,08050,United States,WALBASE-0.75,1
701980923,FL,34655,United States,WALBASE-3.75,1
701980923,FL,34655,United States,WALBASE-3.50,1
701980924,FL,32304,United States,WALBASE-1.50,1
701980924,FL,32304,United States,WALBASE-2.00,1
701980926,IN,46970-7736,United States,WALBASE-8.50,2
701980929,NY,11221-3709,United States,WALBASE-1.25,6
701980928,KY,42450,United States,WALBASE-1.75,1
701980928,KY,42450,United States,WALBASE-1.50,1
701980927,FL,32542-1445,United States,WALBASE-3.25,1
701980927,FL,32542-1445,United States,WALBASE-2.75,1
701980925,PA,16156-6121,United States,WALBASE-2.00,1
701980925,PA,16156-6121,United States,WALBASE-1.25,1
701980939,FL,32712-3438,United States,WALBASE-3.50,1
701980939,FL,32712-3438,United States,WALBASE-3.25,1
701980936,OH,45236-1651,United States,WALBASE-5.25,2
701980949,KY,40505-1553,United States,WALBASE-4.25,6
701978464,GA,30337-2480,United States,WALFIRST-3.75,1
701978465,PA,18344-1678,United States,WALFIRST-3.50,1
701978465,PA,18344-1678,United States,WALFIRST-3.50,1
701978504,CT,06516-3602,United States,WALFIRST-5.50,1
701980934,NC,27516,United States,WALBASE-2.50,1
701980938,NJ,08610-6111,United States,WALBASE-3.75,2
701980932,OH,45344-2935,United States,WALBASE-0.75,1
701980932,OH,45344-2935,United States,WALBASE-1.00,1
701980946,PA,18353-8395,United States,WALBASE-2.00,1
701980946,PA,18353-8395,United States,WALBASE-2.50,1
701980947,NJ,07067-2320,United States,WALBASE-4.75,1
701980947,NJ,07067-2320,United States,WALBASE-5.00,1
701980942,NY,10014-1393,United States,WALBASE-4.25,2
701980940,OH,45879-1305,United States,WALBASE-2.75,6
701980940,OH,45879-1305,United States,3000,1
701980941,GA,39886-2751,United States,WALBASE-5.25,2
701980935,ME,04001,United States,WALBASE-6.50,1
701980935,ME,04001,United States,WALBASE-6.00,1
701980943,SC,29505-3824,United States,WALBASE-3.75,2
701980944,NY,11787-4271,United States,WALBASE-3.50,1
701980944,NY,11787-4271,United States,WALBASE-3.25,1
