3PF Shipping Details,,,,,
03/01/2021 - 03/22/2021,,,,,
Order Number,Ship To State,Ship To Zip,Ship To Country,Part Number,Quantity
702020722,NY,13413,United States,WALBASE-0.75,6
702093291,IA,50021,United States,WALBASE-7.50,1
702093291,IA,50021,United States,WALBASE-6.50,1
702093420,DC,20002,United States,WALBASE-2.25,1
702093420,DC,20002,United States,WALBASE-2.00,1
702093441,FL,33023-4801,United States,WALBASE-2.00,2
702093458,LA,70507,United States,WALBASE-1.75,6
702093457,TX,78642-4709,United States,WALBASE-3.00,2
702093484,TN,37804-2737,United States,WALBASE-1.50,6
702093484,TN,37804-2737,United States,3007,1
702093492,VA,23608,United States,WALFIRST-4.00,2
702093508,WI,54913-8335,United States,WALBASE-2.75,12
702093508,WI,54913-8335,United States,3007,1
702093511,TX,78681-2230,United States,WALBASE-2.75,12
702093511,TX,78681-2230,United States,3007,1
702093522,TN,37660-6303,United States,WALBASE-6.50,3
702093522,TN,37660-6303,United States,WALBASE-7.00,3
702093522,TN,37660-6303,United States,3007,1
702093524,TX,75605,United States,WALBASE-3.00,6
702093524,TX,75605,United States,3007,1
702093532,TX,76013,United States,WALBASE-8.00,3
702093532,TX,76013,United States,WALBASE-6.50,3
702093532,TX,76013,United States,3007,1
702093525,IL,60090,United States,WALBASE-2.50,3
702093525,IL,60090,United States,3007,1
702093535,FL,33334,United States,WALBASE-2.50,6
702093535,FL,33334,United States,3007,1
702093534,GA,30517-6081,United States,WALBASE-3.75,12
702093534,GA,30517-6081,United States,3007,1
702093537,NY,11210-1647,United States,WALBASE-3.75,3
702093537,NY,11210-1647,United States,WALBASE-3.25,3
702093537,NY,11210-1647,United States,3007,1
702093581,PA,15227,United States,3007,1
702093581,PA,15227,United States,WALBASE-1.75,12
702093557,FL,32824-4442,United States,WALBASE-2.75,6
702093557,FL,32824-4442,United States,3007,1
702093585,FL,34286-5498,United States,WALBASE-2.25,3
702093585,FL,34286-5498,United States,WALBASE-2.50,3
702093585,FL,34286-5498,United States,3007,1
702093593,MI,48503,United States,WALBASE-8.50,3
702093593,MI,48503,United States,WALBASE-10.00,3
702093593,MI,48503,United States,3007,1
702093609,NY,11216-4668,United States,WALBASE-4.00,3
702093609,NY,11216-4668,United States,WALBASE-4.50,3
702093609,NY,11216-4668,United States,3007,1
702093627,MI,49437-1008,United States,WALBASE-1.50,3
702093627,MI,49437-1008,United States,WALBASE-1.00,3
702093627,MI,49437-1008,United States,3007,1
702093637,MA,02723-2807,United States,WALBASE+2.50,3
702093637,MA,02723-2807,United States,WALBASE+1.00,3
702093637,MA,02723-2807,United States,3007,1
702093644,NY,11218,United States,WALBASE-3.25,6
702093644,NY,11218,United States,3007,1
702093670,VA,20121-3007,United States,WALBASE-7.00,3
702093670,VA,20121-3007,United States,WALBASE-6.50,3
702093670,VA,20121-3007,United States,3007,1
702093697,FL,34609,United States,WALBASE+2.75,6
702093697,FL,34609,United States,3007,1
702093710,NC,27127-6603,United States,WALBASE-6.00,6
702093710,NC,27127-6603,United States,3007,1
702093722,FL,33428-5952,United States,WALBASE-2.75,6
702093722,FL,33428-5952,United States,3007,1
702093726,DC,20009-6319,United States,WALBASE-2.50,6
702093726,DC,20009-6319,United States,3007,1
702093734,NY,10465-2951,United States,3007,1
702093734,NY,10465-2951,United States,WALBASE-1.75,12
702093749,OH,44408-9482,United States,WALBASE-9.50,6
702093749,OH,44408-9482,United States,3007,1
702093752,OH,44212-1570,United States,WALBASE-4.50,6
702093752,OH,44212-1570,United States,3007,1
